,name,team,opponent,points,salary,week
753,"Slater, Matthew",nwe,was,0,4500,5
754,"Arcega-Whiteside, JJ",phi, nyj,0,4600,5
755,"Core, Cody",nyg, min,0,4500,5
756,"James, Richie",sfo, cle,0,4600,5
757,"Ratley, Damion",cle,sfo,0,4500,5
758,"McCloud, Ray-Ray",car, jac,0,4500,5
759,"Cole, Keelan",jac,car,0,4500,5
760,"Shepherd, Darrius",gnb,dal,0,4500,5
761,"Bellamy, Josh",nyj,phi,0,4500,5
762,"Harris, Deonte",nor, tam,0,4500,5
763,"Switzer, Ryan",pit, bal,0,4500,5
764,"Carter, DeAndre",hou, atl,-2,4500,5
765,"Diggs, Stefon",min, phi,40,5800,6
766,"McLaurin, Terry",was,mia,24,6400,6
767,"Hill, Tyreek",kan, hou,22.5,7400,6
768,"Samuel, Curtis",car,tam,21.8,5300,6
769,"Anderson, Robby",nyj, dal,21,5300,6
770,"Godwin, Chris",tam, car,20.1,8000,6
771,"Tate, Golden",nyg,nwe,19.2,5000,6
772,"Jeffery, Alshon",phi,min,18.6,6400,6
773,"Brown, Jaron",sea,cle,16.4,4500,6
774,"Evans, Mike",tam, car,16.1,7300,6
775,"Edelman, Julian",nwe, nyg,15.8,6600,6
776,"Jones, Julio",atl,ari,14.8,8500,6
777,"Thielen, Adam",min, phi,14.7,7200,6
778,"Golladay, Kenny",det,gnb,14.6,7100,6
779,"Lazard, Allen",gnb, det,14.5,4500,6
780,"Beckham Jr., Odell",cle, sea,13.1,7600,6
781,"Thomas, Michael",nor,jac,12.9,8200,6
782,"Ridley, Calvin",atl,ari,12.8,5500,6
783,"Crowder, Jamison",nyj, dal,12.8,5400,6
784,"Moore, D.J.",car,tam,12.1,5700,6
785,"Hopkins, DeAndre",hou,kan,12,8400,6
786,"Tate, Auden",cin,bal,11.6,5400,6
787,"Lockett, Tyler",sea,cle,10.3,6300,6
788,"Parker, DeVante",mia, was,10.3,5400,6
789,"Fitzgerald, Larry",ari, atl,9.9,5600,6
790,"Williams, Mike",lac, pit,9.7,6200,6
791,"Sutton, Courtland",den, ten,9.6,5900,6
792,"Metcalf, D.K.",sea,cle,9.3,5800,6
793,"Austin, Tavon",dal,nyj,8.9,4500,6
794,"Erickson, Alex",cin,bal,8.4,4500,6
795,"Thomas, Demaryius",nyj, dal,8.2,4800,6
796,"Humphries, Adam",ten,den,7.7,5000,6
797,"Woods, Robert",lar, sfo,7.6,7100,6
798,"Meyers, Jakobi",nwe, nyg,7.4,4700,6
799,"Wilson, Cedrick",dal,nyj,7.1,4500,6
800,"Byrd, Damiere",ari, atl,7,4700,6
801,"Fuller, Will",hou,kan,6.9,6600,6
802,"Westbrook, Dede",jac, nor,6.8,5400,6
803,"Gallup, Michael",dal,nyj,6.8,6100,6
804,"Valdes-Scantling, Marquez",gnb, det,6.7,6000,6
805,"Hardman, Mecole",kan, hou,6.5,6400,6
806,"Hall, Marvin",det,gnb,6.3,0,6
807,"Agholor, Nelson",phi,min,6.2,5100,6
808,"Pettis, Dante",sfo,lar,6,4600,6
809,"Coutee, Keke",hou,kan,5.9,4900,6
810,"Ginn Jr., Ted",nor,jac,5.8,5300,6
811,"Chark, D.J.",jac, nor,5.8,6500,6
812,"Allison, Geronimo",gnb, det,5.5,5500,6
813,"Miller, Scott",tam, car,5.4,4500,6
814,"Moore, Jason",lac, pit,5.3,4500,6
815,"Moore, David",sea,cle,5.1,4500,6
816,"Landry, Jarvis",cle, sea,5.1,6700,6
817,"Davis, Corey",ten,den,5.1,5100,6
818,"Slayton, Darius",nyg,nwe,4.7,5100,6
819,"Cooks, Brandin",lar, sfo,4.7,6500,6
820,"Olszewski, Gunner",nwe, nyg,4.4,4500,6
821,"Sanu, Mohamed",atl,ari,4.4,6000,6
822,"Allen, Keenan",lac, pit,4.3,7300,6
823,"Sherfield, Trent",ari, atl,4.3,4500,6
824,"Williams, Preston",mia, was,4.1,5600,6
825,"Wilson, Albert",mia, was,4,4900,6
826,"Boykin, Miles",bal, cin,3.8,4600,6
827,"Kupp, Cooper",lar, sfo,3.7,7800,6
828,"Hamilton, DaeSean",den, ten,3.5,4900,6
829,"Pringle, Byron",kan, hou,3.4,4500,6
830,"Samuel, Deebo",sfo,lar,3.4,5400,6
831,"Roberts, Seth",bal, cin,3.3,4500,6
832,"Cooper, Pharoh",ari, atl,3.3,4800,6
833,"Brown, A.J.",ten,den,3.3,5400,6
834,"Snead, Willie",bal, cin,3.3,5000,6
835,"Callaway, Antonio",cle, sea,3.2,5100,6
836,"Moore, Chris",bal, cin,2.8,4500,6
837,"Jones, Marvin",det,gnb,2.7,5600,6
838,"Kumerow, Jake",gnb, det,2.7,4500,6
839,"Hurns, Allen",mia, was,2.6,4500,6
