,name,team,opponent,points,salary,week
418,"Bonnafon, Reggie",car,hou,0,4500,4
419,"Bellore, Nick",sea,ari,0,4500,4
420,"Pollard, Tony",dal,nor,0,5000,4
421,"Gillaspia, Cullen",hou, car,0,4500,4
422,"Foster, D.J.",ari, sea,0,4500,4
423,"Cox, Chandler",mia, lac,0,4500,4
424,"Sherman, Anthony",kan,det,0,4500,4
425,"Johnson, D'Ernest",cle,bal,0,4700,4
426,"Howell, Buddy",hou, car,0,4500,4
427,"Booker, Devontae",den, jac,0,4500,4
428,"Homer, Travis",sea,ari,0,4500,4
429,"Armah, Alex",car,hou,0,4500,4
430,"Ervin, Tyler",jac,den,0,4500,4
431,"Jones, Taiwan",hou, car,0,4500,4
432,"Perine, Samaje",cin,pit,0,4500,4
433,"Janovich, Andy",den, jac,0,4500,4
434,"Scarlett, Jordan",car,hou,0,4500,4
435,"Henderson, Darrell",lar, tam,0,4700,4
436,"Clement, Corey",phi,gnb,0,4500,4
437,"Fluellen, David",ten,atl,0,4500,4
438,"Logan, T.J.",tam,lar,0,4500,4
439,"Olawale, Jamize",dal,nor,0,4500,4
440,"Hill, Brian",atl, ten,0,4500,4
441,"Jones, Aaron",gnb,dal,45.7,6800,5
442,"McCaffrey, Christian",car, jac,44.7,9100,5
443,"Jacobs, Josh",oak, chi,27.8,6000,5
444,"Breida, Matt",sfo, cle,26.4,5900,5
445,"Cook, Dalvin",min,nyg,22.8,8200,5
446,"Lindsay, Phillip",den,lac,22.7,6700,5
447,"Fournette, Leonard",jac,car,21.7,6900,5
448,"Michel, Sony",nwe,was,19.8,6300,5
449,"Carson, Chris",sea, lar,18.8,6900,5
450,"Gurley, Todd",lar,sea,17.2,6700,5
451,"Johnson, David",ari,cin,17.1,6800,5
452,"Mack, Marlon",ind,kan,16.3,6700,5
453,"Elliott, Ezekiel",dal, gnb,16.1,8800,5
454,"Edmonds, Chase",ari,cin,16.1,4700,5
455,"Coleman, Tevin",sfo, cle,15.7,5000,5
456,"Freeman, Devonta",atl,hou,15.5,6200,5
457,"Ekeler, Austin",lac, den,14.8,7200,5
458,"Bonnafon, Reggie",car, jac,14,4500,5
459,"Kamara, Alvin",nor, tam,13.92,8200,5
460,"Henry, Derrick",ten, buf,13.8,6700,5
461,"Bell, Le'Veon",nyj,phi,12.3,7300,5
462,"Howard, Jordan",phi, nyj,12.2,6500,5
463,"Hyde, Carlos",hou, atl,12,5600,5
464,"Ingram, Mark",bal,pit,11.9,7500,5
465,"Conner, James",pit, bal,11.5,6900,5
466,"Mixon, Joe",cin, ari,11.4,7100,5
467,"Washington, DeAndre",oak, chi,11.1,4500,5
468,"Bolden, Brandon",nwe,was,10.7,4800,5
469,"Chubb, Nick",cle,sfo,10.4,7800,5
470,"White, James",nwe,was,10.2,6200,5
471,"Montgomery, David",chi,oak,10.1,5700,5
472,"Barber, Peyton",tam,nor,9.6,5500,5
473,"Smith, Ito",atl,hou,9.4,4800,5
474,"Sanders, Miles",phi, nyj,8.4,6000,5
475,"Gore, Frank",buf,ten,7.9,5700,5
476,"Cohen, Tarik",chi,oak,7.9,5900,5
477,"Freeman, Royce",den,lac,7.7,5400,5
478,"Johnson, Duke",hou, atl,7.2,5300,5
479,"Jones, Ronald",tam,nor,6.6,5900,5
480,"Hines, Nyheim",ind,kan,6.5,4800,5
481,"Thompson, Chris",was, nwe,6.3,5400,5
482,"Penny, Rashaad",sea, lar,5.9,5900,5
483,"Gordon, Melvin",lac, den,5.8,6800,5
484,"Williams, Damien",kan, ind,5.3,6400,5
485,"Mattison, Alexander",min,nyg,5.2,4900,5
486,"Carson, Tra",gnb,dal,5.2,4500,5
487,"Yeldon, T.J.",buf,ten,4.8,4800,5
488,"Murray, Latavius",nor, tam,4.4,5200,5
489,"Richard, Jalen",oak, chi,4.2,5000,5
490,"Bernard, Giovani",cin, ari,4.1,5000,5
491,"Lewis, Dion",ten, buf,4,4900,5
492,"Mostert, Raheem",sfo, cle,3.4,5700,5
493,"Ogunbowale, Dare",tam,nor,3.3,4500,5
494,"Juszczyk, Kyle",sfo, cle,3,4500,5
495,"Hilliman, Jon",nyg, min,2.9,4500,5
496,"Penny, Elijhaa",nyg, min,2.9,5000,5
497,"Edwards, Gus",bal,pit,2.8,5100,5
498,"Wilkins, Jordan",ind,kan,2.8,4900,5
499,"Smallwood, Wendell",was, nwe,2.7,4500,5
500,"Abdullah, Ameer",min,nyg,2.4,4500,5
501,"Samuels, Jaylen",pit, bal,1.96,5000,5
502,"Pollard, Tony",dal, gnb,1.9,5000,5
503,"Peterson, Adrian",was, nwe,1.8,5300,5
504,"Gallman, Wayne",nyg, min,1.4,6300,5
505,"Vitale, Dan",gnb,dal,1.4,4500,5
506,"Watt, Derek",lac, den,1.3,4500,5
507,"McCoy, LeSean",kan, ind,1.3,6300,5
508,"Johnson, D'Ernest",cle,sfo,1.1,4700,5
509,"Armstead, Ryquell",jac,car,1.1,4500,5
510,"Johnson, Jakob",nwe,was,1,4500,5
511,"Armah, Alex",car, jac,0.9,4500,5
512,"Hill, Justice",bal,pit,0.7,4500,5
513,"Powell, Bilal",nyj,phi,0.4,4500,5
514,"Ham, C.J.",min,nyg,0.4,4500,5
515,"Sproles, Darren",phi, nyj,0.4,4600,5
516,"Brown, Malcolm",lar,sea,0.3,5100,5
517,"Ingold, Alec",oak, chi,0.3,4500,5
518,"Sherman, Anthony",kan, ind,0.2,4500,5
519,"Montgomery, Ty",nyj,phi,0.1,4600,5
520,"Boone, Mike",min,nyg,0,4500,5
521,"Washington, Dwayne",nor, tam,0,4500,5
522,"Pope, Troymaine",lac, den,0,5000,5
523,"Bellore, Nick",sea, lar,0,4500,5
524,"Line, Zach",nor, tam,0,4500,5
525,"Davis, Mike",chi,oak,0,4700,5
526,"Gillaspia, Cullen",hou, atl,0,4500,5
527,"Foster, D.J.",ari,cin,0,4500,5
528,"Williams, Darrel",kan, ind,0,6000,5
529,"Howell, Buddy",hou, atl,0,4500,5
530,"Booker, Devontae",den,lac,0,4500,5
531,"Homer, Travis",sea, lar,0,4500,5
532,"Hilliard, Dontrell",cle,sfo,0,4800,5
533,"Jones, Taiwan",hou, atl,0,4500,5
534,"Perine, Samaje",cin, ari,0,4500,5
535,"Williams, Jonathan",ind,kan,0,4500,5
536,"Snell, Benny",pit, bal,0,4500,5
537,"Janovich, Andy",den,lac,0,4500,5
538,"Scarlett, Jordan",car, jac,0,4500,5
539,"Henderson, Darrell",lar,sea,0,4500,5
540,"Logan, T.J.",tam,nor,0,4500,5
541,"Olawale, Jamize",dal, gnb,0,4500,5
542,"Cannon, Trenton",nyj,phi,0,4600,5
543,"Hill, Brian",atl,hou,0,4500,5
544,"Clement, Corey",phi, nyj,-2,4500,5
545,"Conner, James",pit,lac,27.4,6600,6
546,"Chubb, Nick",cle, sea,26.4,7800,6
547,"Freeman, Devonta",atl,ari,25.3,6600,6
548,"Johnson, David",ari, atl,25.2,6900,6
549,"Carson, Chris",sea,cle,23.9,7200,6
550,"Elliott, Ezekiel",dal,nyj,23.7,8500,6
551,"Williams, Jamaal",gnb, det,21.6,5400,6
552,"McCaffrey, Christian",car,tam,19.7,9700,6
553,"Hyde, Carlos",hou,kan,17.5,6000,6
554,"Sanders, Miles",phi,min,16.7,5700,6
555,"Fournette, Leonard",jac, nor,14.8,7300,6
556,"Peterson, Adrian",was,mia,14.6,5300,6
557,"Lindsay, Phillip",den, ten,14.5,6700,6
558,"Ingram, Mark",bal, cin,14.4,7500,6
559,"Edmonds, Chase",ari, atl,13.7,5200,6
560,"Coleman, Tevin",sfo,lar,13.1,5000,6
561,"Johnson, Kerryon",det,gnb,13.1,6900,6
562,"Cook, Dalvin",min, phi,12.4,8200,6
563,"Johnson, Duke",hou,kan,12.4,5300,6
564,"Michel, Sony",nwe, nyg,12.3,6500,6
565,"Bell, Le'Veon",nyj, dal,11.8,6800,6
566,"Bolden, Brandon",nwe, nyg,11.5,5000,6
567,"Kamara, Alvin",nor,jac,10.1,7900,6
568,"Freeman, Royce",den, ten,10.1,5200,6
569,"Walton, Mark",mia, was,10,4500,6
570,"Drake, Kenyan",mia, was,10,5600,6
571,"Ogunbowale, Dare",tam, car,10,4600,6
572,"Murray, Latavius",nor,jac,9.4,5000,6
573,"Snell, Benny",pit,lac,9.4,4500,6
574,"White, James",nwe, nyg,9,6000,6
