,name,team,opponent,points,salary,week
70,"Sample, Drew",cin,sea,0,4000,1
71,"Grimble, Xavier",pit,nwe,0,4000,1
72,"Heuerman, Jeff",den,oak,0,4200,1
73,"Adams, Jerell",hou,nor,0,4000,1
74,"Smith, Lee",buf,nyj,0,4000,1
75,"Smith Jr., Irv",min, atl,0,4000,1
76,"DeValve, Seth",jac, kan,0,4000,1
77,"Pruitt, MyCole",ten,cle,0,4000,1
78,"Dillon, Brandon",min, atl,0,4000,1
79,"Culkin, Sean",lac, ind,0,4000,1
80,"Toilolo, Levine",sfo,tam,0,4000,1
81,"Stocker, Luke",atl,min,0,4000,1
82,"Fumagalli, Troy",den,oak,0,4000,1
83,"Brown, Daniel",nyj, buf,0,4500,1
84,"Braunecker, Ben",chi, gnb,0,4000,1
85,"Smythe, Durham",mia, bal,0,4000,1
86,"Wesco, Trevon",nyj, buf,0,4500,1
87,"Dwelley, Ross",sfo,tam,0,4000,1
88,"Andrews, Mark",bal, ari,21.2,6100,2
89,"Kelce, Travis",kan,oak,20.2,8000,2
90,"Dissly, Will",sea,pit,19.5,4500,2
91,"McDonald, Vance",pit, sea,19.3,5600,2
92,"Olsen, Greg",car, tam,14,5400,2
93,"Ertz, Zach",phi,atl,13.2,6900,2
94,"Witten, Jason",dal,was,10.5,4700,2
95,"Ebron, Eric",ind,ten,10,5700,2
96,"Waller, Darren",oak, kan,9.3,5400,2
97,"Eifert, Tyler",cin, sfo,8.4,4900,2
98,"Engram, Evan",nyg, buf,7.8,6400,2
99,"Kittle, George",sfo,cin,6.9,7100,2
100,"Hurst, Hayden",bal, ari,6.6,4800,2
101,"Walker, Delanie",ten, ind,5.9,5900,2
102,"Hooper, Austin",atl, phi,5.4,5800,2
103,"Fant, Noah",den, chi,5.3,5200,2
104,"O'Shaughnessy, James",jac,hou,4.8,4500,2
